user_id,anime_id,rating
0,430,9
0,1004,5
0,3010,7
0,570,7
0,2762,9
0,431,8
0,578,10
0,433,6
0,1571,10
0,121,9
0,356,9
0,1250,7
0,2913,6
0,1689,6
0,68,6
0,1829,7
0,600,6
0,3418,9
0,164,8
0,1894,7
0,415,10
0,2236,10
0,448,5
0,2034,8
0,2547,7
0,169,7
0,199,8
0,174,4
0,2543,7
0,466,7
0,459,9
0,1047,6
0,2248,6
0,4086,6
0,419,8
1,22535,9
1,32281,10
1,38000,9
1,18679,6
1,37497,8
1,40221,8
1,37999,8
1,28851,9
1,11061,9
1,37965,9
1,30831,7
1,38826,8
1,11771,7
1,16894,7
1,24415,7
1,34599,8
1,19,9
1,20,10
1,442,7
1,936,6
1,2144,6
1,37259,8
1,32937,7
1,40776,9
1,36456,8
1,32935,8
1,6547,6
1,9919,8
1,5081,8
1,31043,9
1,31964,9
1,33486,8
1,1735,10
1,38408,8
1,28755,8
1,1575,10
1,38883,8
1,35849,6
1,18689,8
1,38731,8
1,30230,8
1,38691,9
1,38671,7
1,40956,7
1,5114,10
1,37349,7
1,20583,8
1,28891,8
1,1535,9
1,2472,7
1,23273,9
1,6325,7
1,35847,7
1,35507,7
1,37779,9
1,33161,8
1,23847,8
1,18753,7
1,39547,9
1,14813,8
1,33352,7
1,37521,9
1,39940,7
1,4224,9
1,41353,8
1,37430,8
1,2752,8
1,4053,9
1,995,8
1,22,9
1,9253,10
1,21881,5
1,11757,5
1,32188,10
1,16870,9
1,4437,7
1,36949,8
1,32282,8
1,8246,7
1,10589,7
1,13667,8
1,19815,8
1,30276,8
1,34134,7
1,14749,7
1,36259,6
1,31240,8
1,39587,9
1,35788,8
1,13759,7
1,38329,9
1,199,10
1,154,8
1,22199,7
1,11371,7
1,16498,10
1,25777,10
1,35760,10
1,28171,8
1,40902,7
1,37450,10
1,11577,10
1,30484,10
2,31580,7
2,37086,8
2,1604,9
2,22535,8
2,189,8
2,34599,7
2,29575,8
2,10620,8
2,32182,9
2,23755,9
2,20,9
2,1735,9
2,35581,8
2,5040,9
2,30276,9
2,34134,9
2,11499,7
2,29786,8
2,16498,9
2,28171,9
2,9253,9
2,3455,8
2,22319,8
2,5762,7
2,34933,8
2,26055,9
2,7661,8
2,14719,9
2,20899,9
2,35028,8
2,368,8
2,31964,8
2,33486,9
2,31740,7
2,1575,9
2,1535,10
2,28223,8
2,226,8
2,38671,8
2,2904,10
2,15,9
2,71,8
2,263,10
2,270,9
2,24703,8
2,15451,9
2,8074,6
2,11061,10
2,34542,7
2,32872,7
2,28961,7
3,25835,8
3,28171,8
3,32282,8
3,35788,9
3,9253,9
3,5958,8
3,8407,8
3,2418,8
3,29786,7
3,18277,7
3,9863,9
3,23273,8
3,37450,9
3,2104,8
3,18119,8
3,38787,7
3,4063,7
3,20847,8
3,8675,8
3,10464,8
3,5909,8
3,5681,9
3,6500,6
3,11499,7
3,205,9
3,38759,7
3,29758,3
3,25157,7
3,35790,9
3,5300,8
3,14075,8
3,1195,7
3,18677,7
3,35507,8
3,28677,7
3,23847,8
3,14813,8
3,33094,7
3,35968,9
3,10521,7
3,6956,7
3,16742,7
3,2608,8
3,27387,7
3,34902,8
3,28025,8
3,2129,7
3,13759,8
3,26443,6
3,4224,8
3,18139,7
3,14227,9
3,16011,7
3,4654,7
3,28979,7
3,13663,7
3,32093,8
3,131,8
3,28617,7
3,23277,7
3,18095,7
3,30503,8
3,20507,8
3,6023,6
3,3467,7
3,19815,8
3,11597,8
3,27787,7
3,15315,8
3,17074,8
3,30307,7
3,31442,7
3,6512,7
3,16067,9
3,5597,7
3,6712,7
3,4081,8
3,10379,8
3,12467,7
3,30,8
3,36038,7
3,31404,7
3,31953,8
3,10165,9
3,3673,7
3,18897,8
3,23755,7
3,30727,8
3,28819,7
3,6324,6
3,20709,7
3,2993,7
3,22865,7
3,32951,7
3,30015,8
3,6675,9
3,31240,9
3,30296,7
3,10611,7
3,13601,9
3,30240,8
3,35240,8
3,32603,7
3,6201,6
3,5682,8
3,31645,7
3,10588,8
3,21473,8
3,8795,8
3,26243,7
3,29803,8
3,8769,7
3,28297,8
3,25099,7
3,14199,6
3,30276,8
3,10711,8
3,19221,8
3,32542,8
3,8424,7
3,23199,8
3,6746,8
3,37982,7
3,3702,8
3,9379,7
3,24031,8
3,33988,8
3,28223,7
3,6880,7
3,27831,7
3,19163,7
3,6573,7
3,2025,7
3,11843,8
3,16592,8
3,33028,8
3,32189,8
3,34103,8
3,12549,7
3,20031,7
3,15583,7
3,226,9
3,32901,6
3,28221,6
3,14811,7
3,19363,9
3,16918,9
3,18465,8
3,2508,8
3,240,8
3,23289,8
3,28907,8
3,32071,7
3,25183,7
3,24765,7
3,33731,8
3,4725,7
3,73,8
3,71,7
3,9367,7
3,31376,7
3,227,8
3,11741,9
3,10087,8
3,27821,8
3,1,9
3,1575,8
3,2167,8
3,14741,8
3,6166,7
3,7647,8
3,33506,8
3,9919,8
3,11111,8
3,11433,9
3,9989,8
3,6547,8
3,22147,8
3,32828,8
3,22729,7
3,47,9
3,4744,7
3,22199,7
3,32323,7
3,34881,8
3,1292,8
3,12291,7
3,25397,6
3,32998,8
3,31646,9
3,4999,6
3,21431,6
3,66,9
3,2251,9
3,28999,8
3,10578,6
3,5356,7
3,1689,8
3,14345,8
3,38186,7
3,14967,8
3,10719,7
3,31043,7
3,11633,7
3,34618,7
3,32086,8
3,1519,9
3,889,9
3,20787,7
3,13535,8
3,10396,8
3,22789,8
3,10030,9
3,7674,8
3,5081,8
3,7817,7
3,17895,10
3,2904,8
3,17729,7
3,30831,9
3,31952,7
3,11887,8
3,8876,8
3,33206,8
3,31798,8
3,7593,6
3,22535,8
3,16732,7
3,32281,9
3,3229,7
3,11079,7
3,36407,6
3,3464,7
3,34451,9
3,24439,7
3,6205,6
3,14807,9
3,5205,10
3,5204,7
3,4282,8
3,32937,8
3,4280,8
3,8841,7
3,15379,7
3,2494,7
3,10620,8
3,2963,7
3,20541,7
3,11761,7
3,10110,7
3,10721,8
3,31845,6
3,10397,7
3,33487,7
3,21863,7
3,10213,7
3,31741,8
3,24455,7
3,3654,8
3,189,7
3,13655,7
3,7148,7
3,18153,8
3,32949,8
3,43,8
3,10790,8
3,3783,8
3,13367,7
3,29095,8
3,7088,7
3,12189,8
3,10079,6
3,33241,7
3,36296,9
3,8074,7
3,15451,8
3,11617,7
3,5630,8
3,8630,7
3,15225,7
3,10187,8
3,2026,7
3,5150,8
3,15809,8
3,32648,8
3,6574,8
3,11785,7
3,13161,7
3,3782,8
3,29093,8
3,15059,8
3,22507,8
3,24703,8
3,18,8
3,3503,7
3,185,7
3,10568,8
3,16009,8
3,10080,8
3,8525,8
3,7054,8
3,14467,8
3,28387,7
3,15735,7
3,13331,7
3,3958,8
3,23121,6
3,29785,7
3,187,8
3,34542,8
